Date,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,SleepScore,sleep_labels
09-05-2015,384,26,23,417,0.8585131894484412,1
10-05-2015,454,35,21,491,0.8533604887983707,1
11-05-2015,387,46,25,436,0.7821100917431193,2
12-05-2015,311,31,21,350,0.8,2
13-05-2015,407,65,44,491,0.6965376782077393,3
14-05-2015,405,47,31,457,0.7833698030634574,2
15-05-2015,381,28,12,415,0.8506024096385543,1
16-05-2015,269,34,16,306,0.7679738562091504,2
17-05-2015,452,26,18,507,0.8402366863905325,2
18-05-2015,269,17,11,291,0.865979381443299,1
19-05-2015,167,9,8,180,0.8777777777777778,1
20-05-2015,368,50,27,420,0.7571428571428571,2
21-05-2015,386,30,22,420,0.8476190476190476,2
22-05-2015,351,46,26,399,0.7644110275689223,2
23-05-2015,314,32,26,353,0.7988668555240793,2
24-05-2015,432,35,24,469,0.8464818763326226,2
25-05-2015,224,24,19,270,0.7407407407407407,3
26-05-2015,0,0,0,0,,NaN
27-05-2015,389,39,28,430,0.813953488372093,2
28-05-2015,381,24,17,412,0.866504854368932,1
29-05-2015,417,66,32,486,0.7222222222222222,3
30-05-2015,464,35,26,503,0.852882703777336,1
31-05-2015,328,53,25,382,0.7198952879581152,3
01-06-2015,426,54,33,495,0.7515151515151515,2
02-06-2015,430,41,26,484,0.8037190082644629,2
03-06-2015,376,46,34,436,0.7568807339449541,2
04-06-2015,312,44,29,369,0.7262872628726287,3
05-06-2015,388,21,15,415,0.8843373493975903,1
06-06-2015,409,56,34,468,0.7542735042735043,2
01-06-2015,426,54,27,495,0.7515151515151515,2
02-06-2015,430,41,19,484,0.8037190082644629,2
03-06-2015,376,46,30,436,0.7568807339449541,2
04-06-2015,312,44,25,369,0.7262872628726287,3
05-06-2015,388,21,14,415,0.8843373493975903,1
06-06-2015,409,56,30,468,0.7542735042735043,2
07-06-2015,54,18,3,87,0.41379310344827586,3
08-06-2015,347,45,21,401,0.7531172069825436,2
09-06-2015,290,33,14,332,0.7740963855421686,2
10-06-2015,379,24,14,411,0.8637469586374696,1
11-06-2015,394,29,17,436,0.8371559633027523,2
12-06-2015,421,23,13,448,0.8883928571428571,1
13-06-2015,169,20,11,196,0.7602040816326531,2
14-06-2015,0,0,0,0,,NaN
15-06-2015,412,17,9,436,0.9059633027522935,0
16-06-2015,379,49,30,438,0.7534246575342466,2
17-06-2015,373,47,23,427,0.7634660421545667,2
18-06-2015,360,51,26,416,0.7427884615384616,3
19-06-2015,358,42,22,401,0.7880299251870324,2
20-06-2015,415,48,29,468,0.7841880341880342,2
21-06-2015,464,39,24,503,0.8449304174950298,2
22-06-2015,388,54,28,444,0.7522522522522522,2
23-06-2015,449,24,15,480,0.8854166666666666,1
24-06-2015,357,29,15,395,0.830379746835443,2
25-06-2015,379,38,21,420,0.8119047619047619,2
26-06-2015,332,16,7,349,0.9054441260744985,0
27-06-2015,413,38,19,454,0.8259911894273128,2
28-06-2015,438,45,22,488,0.805327868852459,2
29-06-2015,277,42,15,320,0.734375,3
30-06-2015,291,22,17,317,0.8485804416403786,2
01-07-2015,370,26,14,444,0.7747747747747747,2
02-07-2015,455,21,13,482,0.9004149377593361,0
03-07-2015,311,19,11,333,0.8768768768768769,1
04-07-2015,550,44,19,594,0.8518518518518519,1
05-07-2015,368,57,27,431,0.7215777262180975,3
06-07-2015,250,19,13,282,0.8191489361702128,2
07-07-2015,76,10,7,92,0.717391304347826,3
08-07-2015,360,39,18,425,0.7552941176470588,2
09-07-2015,248,12,7,261,0.9042145593869731,0
10-07-2015,410,52,27,463,0.7732181425485961,2
11-07-2015,465,31,16,501,0.8662674650698603,1
12-07-2015,406,22,17,435,0.8827586206896552,1
13-07-2015,347,29,15,385,0.825974025974026,2
14-07-2015,362,24,14,393,0.8600508905852418,1
15-07-2015,418,20,11,438,0.908675799086758,0
16-07-2015,411,31,11,451,0.8425720620842572,2
17-07-2015,304,28,16,338,0.8165680473372781,2
18-07-2015,343,50,24,398,0.7361809045226131,3
19-07-2015,368,18,10,391,0.8951406649616368,1
20-07-2015,380,34,24,420,0.8238095238095238,2
21-07-2015,322,41,13,363,0.7741046831955923,2
22-07-2015,0,0,0,0,,NaN
23-07-2015,472,29,16,519,0.8535645472061657,1
24-07-2015,292,23,16,343,0.7842565597667639,2
25-07-2015,304,47,21,357,0.7198879551820728,3
26-07-2015,419,51,25,480,0.7666666666666667,2
27-07-2015,172,6,7,185,0.8972972972972973,1
28-07-2015,303,48,31,356,0.7162921348314607,3
29-07-2015,368,29,23,406,0.8349753694581281,2
30-07-2015,389,36,19,433,0.815242494226328,2
31-07-2015,415,39,31,467,0.8051391862955032,2
01-08-2015,0,0,0,0,,NaN
02-08-2015,529,78,38,607,0.742998352553542,3
03-08-2015,294,42,18,351,0.717948717948718,3
04-08-2015,303,27,16,336,0.8214285714285714,2
05-08-2015,553,31,20,592,0.8817567567567568,1
06-08-2015,402,22,12,427,0.8899297423887588,1
07-08-2015,192,22,12,230,0.7391304347826086,3
08-08-2015,487,27,17,518,0.888030888030888,1
09-08-2015,544,39,24,583,0.8662092624356775,1
10-08-2015,77,0,0,77,1.0,0
11-08-2015,80,2,5,92,0.8478260869565217,2
12-08-2015,0,0,0,0,,NaN
13-08-2015,263,33,17,297,0.7744107744107744,2
14-08-2015,219,15,11,237,0.8607594936708861,1
15-08-2015,551,42,27,593,0.8583473861720068,1
16-08-2015,429,34,16,465,0.8494623655913979,2
17-08-2015,263,7,13,285,0.8982456140350877,1
18-08-2015,445,75,38,526,0.7034220532319392,3
19-08-2015,212,33,15,247,0.7246963562753036,3
20-08-2015,324,22,13,354,0.8531073446327684,1
21-08-2015,465,60,33,525,0.7714285714285715,2
22-08-2015,440,33,23,476,0.8550420168067226,1
23-08-2015,518,28,19,549,0.8925318761384335,1
24-08-2015,375,49,33,446,0.7309417040358744,3
25-08-2015,326,13,6,339,0.9233038348082596,0
26-08-2015,397,21,14,437,0.8604118993135011,1
27-08-2015,497,47,37,549,0.819672131147541,2
28-08-2015,0,0,0,0,,NaN
29-08-2015,234,5,8,250,0.916,0
30-08-2015,52,6,3,69,0.6666666666666666,3
31-08-2015,0,0,0,0,,NaN
01-09-2015,125,13,9,141,0.7943262411347518,2
02-09-2015,316,46,20,366,0.7377049180327869,3
03-09-2015,0,0,0,0,,NaN
04-09-2015,452,26,18,489,0.8711656441717791,1
05-09-2015,479,32,21,512,0.873046875,1
06-09-2015,382,30,18,414,0.8502415458937198,1
07-09-2015,0,0,0,0,,NaN
08-09-2015,153,8,9,163,0.8895705521472392,1
09-09-2015,393,61,33,468,0.7094017094017094,3
