Data,ActivitySleepRatio
01-06-2015,7.0714285714
02-06-2015,5.2043010753
03-06-2015,4.8988764045
04-06-2015,5.2714285714
05-06-2015,7.9807692308
06-06-2015,11.1428571429
07-06-2015,0.6692307692
08-06-2015,13.8275862069
09-06-2015,10.7096774194
10-06-2015,102.75
11-06-2015,6.8125
12-06-2015,40.7272727273
13-06-2015,3.5
14-06-2015,4.3507601038
15-06-2015,8.5490196078
16-06-2015,8.1111111111
17-06-2015,3.8818181818
18-06-2015,7.0508474576
19-06-2015,6.0757575758
20-06-2015,5.0322580645
21-06-2015,6.7066666667
22-06-2015,10.0909090909
23-06-2015,32
24-06-2015,4.1578947368
25-06-2015,21
26-06-2015,3.5252525253
27-06-2015,8.5660377358
28-06-2015,9.568627451
29-06-2015,6.5306122449
30-06-2015,5.4655172414
